CMM	DATA	PU_ANTERIOR	PU_ATUAL
DI1F17	02/01/2017	99999.98	100000.0
DI1F17	29/03/2016	90611.53	90619.45
DI1F18	01/02/2017	91100.55	91105.29
DI1F18	02/01/2017	89783.79	89842.21
DI1F18	02/02/2017	91149.09	91164.8
DI1F18	03/02/2017	91208.63	91235.19
DI1F18	06/02/2017	91279.06	91272.39
DI1F18	07/02/2017	91316.27	91335.14
DI1F18	08/02/2017	91379.05	91412.25
DI1F18	09/02/2017	91456.2	91460.09
DI1F18	10/02/2017	91504.06	91533.13
DI1F18	13/02/2017	91577.14	91577.14
DI1F18	14/02/2017	91621.17	91617.52
DI1F18	15/02/2017	91661.57	91679.29
DI1F18	16/02/2017	91723.37	91701.79
DI1F18	17/02/2017	91745.88	91788.13
DI1F18	20/02/2017	91832.26	91845.88
DI1F18	21/02/2017	91890.04	91917.54
DI1F18	22/02/2017	91961.73	91967.92
DI1F18	29/03/2016	80246.01	80330.87
DI1F19	01/02/2017	82971.28	82992.35
DI1F19	02/01/2017	81272.78	81374.02
DI1F19	02/02/2017	83032.25	83081.67
DI1F19	03/02/2017	83121.62	83213.53
DI1F19	06/02/2017	83253.54	83259.94
DI1F19	07/02/2017	83299.97	83363.08
DI1F19	08/02/2017	83403.16	83451.9
DI1F19	09/02/2017	83492.02	83483.89
DI1F19	10/02/2017	83524.03	83586.65
DI1F19	13/02/2017	83626.84	83604.4
DI1F19	14/02/2017	83644.6	83636.33
DI1F19	15/02/2017	83676.54	83724.63
DI1F19	16/02/2017	83764.88	83615.94
DI1F19	17/02/2017	83656.14	83774.31
DI1F19	20/02/2017	83814.59	83834.25
DI1F19	21/02/2017	83874.56	83950.19
DI1F19	22/02/2017	83990.55	83995.92
DI1F19	29/03/2016	70544.5	70799.6
DI1F20	01/02/2017	74870.33	74903.29
DI1F20	02/01/2017	72860.46	73122.35
DI1F20	02/02/2017	74939.3	75031.13
DI1F20	03/02/2017	75067.2	75277.1
DI1F20	06/02/2017	75313.29	75345.87
DI1F20	07/02/2017	75382.1	75513.18
DI1F20	08/02/2017	75549.49	75621.31
DI1F20	09/02/2017	75657.67	75630.75
DI1F20	10/02/2017	75667.11	75758.5
DI1F20	13/02/2017	75794.92	75807.31
DI1F20	14/02/2017	75843.76	75836.39
DI1F20	15/02/2017	75872.85	75904.86
DI1F20	16/02/2017	75941.36	75717.95
DI1F20	17/02/2017	75754.36	75904.09
DI1F20	20/02/2017	75940.58	75972.48
DI1F20	21/02/2017	76009.01	76119.36
DI1F20	22/02/2017	76155.96	76168.0
DI1F20	29/03/2016	61767.7	62196.44
DI1F21	01/02/2017	67371.93	67390.37
DI1F21	02/01/2017	65221.51	65514.92
DI1F21	02/02/2017	67422.77	67583.58
DI1F21	03/02/2017	67616.07	67920.23
DI1F21	06/02/2017	67952.89	67994.83
DI1F21	07/02/2017	68027.52	68213.01
DI1F21	08/02/2017	68245.81	68383.59
DI1F21	09/02/2017	68416.47	68410.22
DI1F21	10/02/2017	68443.11	68556.89
DI1F21	13/02/2017	68589.85	68631.52
DI1F21	14/02/2017	68664.52	68634.06
DI1F21	15/02/2017	68667.06	68684.64
DI1F21	16/02/2017	68717.66	68471.83
DI1F21	17/02/2017	68504.75	68665.93
DI1F21	20/02/2017	68698.94	68716.5
DI1F21	21/02/2017	68749.54	68862.9
DI1F21	22/02/2017	68896.01	68961.4
DI1F21	29/03/2016	54348.08	54826.17
DI1F22	01/02/2017	60506.59	60542.23
DI1F22	02/01/2017	58211.73	58620.4
DI1F22	02/02/2017	60571.34	60821.19
DI1F22	03/02/2017	60850.43	61182.18
DI1F22	06/02/2017	61211.6	61274.15
DI1F22	07/02/2017	61303.61	61515.17
DI1F22	08/02/2017	61544.75	61656.27
DI1F22	09/02/2017	61685.91	61767.59
DI1F22	10/02/2017	61797.29	61928.08
DI1F22	13/02/2017	61957.86	61993.22
DI1F22	14/02/2017	62023.03	61990.18
DI1F22	15/02/2017	62019.98	62096.24
DI1F22	16/02/2017	62126.1	61848.36
DI1F22	17/02/2017	61878.1	62008.51
DI1F22	20/02/2017	62038.32	62114.43
DI1F22	21/02/2017	62144.29	62247.69
DI1F22	22/02/2017	62277.62	62326.47
DI1F22	29/03/2016	47578.78	48182.83
DI1F23	01/02/2017	54228.62	54311.29
DI1F23	02/01/2017	51900.1	52451.56
DI1F23	02/02/2017	54337.4	54564.67
DI1F23	03/02/2017	54590.9	55023.11
DI1F23	06/02/2017	55049.57	55133.0
DI1F23	07/02/2017	55159.51	55360.38
DI1F23	08/02/2017	55387.0	55647.58
DI1F23	09/02/2017	55674.34	55699.19
DI1F23	10/02/2017	55725.97	55869.17
DI1F23	13/02/2017	55896.03	55950.48
DI1F23	14/02/2017	55977.38	55883.66
DI1F23	15/02/2017	55910.53	56024.2
DI1F23	16/02/2017	56051.14	55750.67
DI1F23	17/02/2017	55777.47	55920.32
DI1F23	20/02/2017	55947.21	56001.54
DI1F23	21/02/2017	56028.47	56201.37
DI1F23	22/02/2017	56228.39	56282.8
DI1F23	29/03/2016	41555.37	42174.79
DI1F24	01/02/2017	48796.52	48853.74
DI1F24	02/01/2017	46634.89	47072.67
DI1F24	02/02/2017	48877.23	49131.84
DI1F24	03/02/2017	49155.46	49641.62
DI1F24	06/02/2017	49665.49	49769.55
DI1F24	07/02/2017	49793.48	50006.05
DI1F24	08/02/2017	50030.09	50352.7
DI1F24	09/02/2017	50376.91	50357.11
DI1F24	10/02/2017	50381.32	50549.05
DI1F24	13/02/2017	50573.35	50584.71
DI1F24	14/02/2017	50609.03	50542.11
DI1F24	15/02/2017	50566.41	50703.07
DI1F24	16/02/2017	50727.45	50426.12
DI1F24	17/02/2017	50450.36	50570.95
DI1F24	20/02/2017	50595.26	50653.5
DI1F24	21/02/2017	50677.85	50892.97
DI1F24	22/02/2017	50917.44	50944.41
DI1F24	29/03/2016	36272.6	36920.39
DI1F25	01/02/2017	43751.22	43841.65
DI1F25	02/01/2017	41503.96	42155.48
DI1F25	02/02/2017	43862.73	44172.26
DI1F25	03/02/2017	44193.5	44695.49
DI1F25	06/02/2017	44716.98	44809.04
DI1F25	07/02/2017	44830.58	45082.7
DI1F25	08/02/2017	45104.38	45422.5
DI1F25	09/02/2017	45444.34	45440.6
DI1F25	10/02/2017	45462.45	45620.48
DI1F25	13/02/2017	45642.41	45671.0
DI1F25	14/02/2017	45692.96	45591.9
DI1F25	15/02/2017	45613.82	45772.13
DI1F25	16/02/2017	45794.14	45466.7
DI1F25	17/02/2017	45488.56	45613.94
DI1F25	20/02/2017	45635.87	45729.16
DI1F25	21/02/2017	45751.15	45974.69
DI1F25	22/02/2017	45996.79	45992.81
DI1F25	29/03/2016	31573.86	32233.93
DI1F26	01/02/2017	39314.84	39454.13
DI1F26	02/01/2017	37180.23	37838.75
DI1F26	02/02/2017	39473.1	39803.55
DI1F26	03/02/2017	39822.69	40317.28
DI1F26	06/02/2017	40336.66	40391.85
DI1F26	07/02/2017	40411.27	40707.15
DI1F26	08/02/2017	40726.72	41067.66
DI1F26	09/02/2017	41087.41	41084.03
DI1F26	10/02/2017	41103.78	41281.94
DI1F26	13/02/2017	41301.79	41265.23
DI1F26	14/02/2017	41285.07	41182.57
DI1F26	15/02/2017	41202.37	41380.71
DI1F26	16/02/2017	41400.61	41067.31
DI1F26	17/02/2017	41087.06	41198.81
DI1F26	20/02/2017	41218.62	41330.65
DI1F26	21/02/2017	41350.52	41545.78
DI1F26	22/02/2017	41565.76	41595.41
